Name ,Country ,City ,Rooms,Floors
First World Hotel , Malaysia ,Genting Highlands ,7351,"24 floors (Tower 1), 28 floors (Tower 2); Tower 2 Annex has altogether 2 rooms. The world's largest hotel from 2006–2008 and (after expansion) from August 2015 – present."
The Palazzo + The Venetian Las Vegas , United States ,Las Vegas ,7117,The Venetian and The Palazzo (53 floors) complex was the world's largest hotel from 2008–2015.
MGM Grand Las Vegas + The Signature , United States ,Las Vegas ,6852,"Includes MGM Grand (30 floors), Signature (38 floors in 3 towers), Skylofts (occupies top 2 floors), and the Mansion; was the world's largest hotel from 1993–2006."
CityCenter , United States ,Las Vegas ,6790,"5 towers: Aria (61 floors), Vdara (57 floors), Mandarin Oriental (56 floors), Veer Towers (37 floors in 2 towers),[1][2]"
Sands Cotai Central , Macau ,Macau ,6000,"4 towers, St. Regis, Holiday Inn/Conrad and Sheraton (2 towers)."
Tilal Al Naseem , Saudi Arabia ,Mecca ,5383,"7 Hotels including Park Inn, Four Points (1136 keys - largest globally[3]) Millennium, Copthorne, Novotel, Ibis Styles and Adagio[4][5]"
Makkah Abraj Al Tayseer , Saudi Arabia ,Mecca ,5154,[6]
Izmailovo Hotel , Russia ,Moscow ,5000,"4 towers, Alpha, Beta, Vega, Gamma-Delta, 30 stories each; the world's largest hotel from 1980–1993."
Wynn Las Vegas + Encore Las Vegas , United States ,Las Vegas ,4750,45/48 floors (2 towers)
Mandalay Bay + Delano + Four Seasons , United States ,Las Vegas ,4426,"43 (Mandalay Bay tower, 5 of which are occupied by Four Seasons), 47 (Delano tower)"
Luxor Las Vegas , United States ,Las Vegas ,4407,22/22/30 floors (3 buildings)
Ambassador City Jomtien , Thailand ,Pattaya ,4219,
Sheraton Grand Macao , Macau ,Macau ,"4,001[7] ","Sky tower 41 floors, Earth tower 40 floors"
Excalibur Hotel and Casino , United States ,Las Vegas ,3981,28 floors (2 towers); was the world's largest hotel from 1990–1993.
Caesars Palace , United States ,Las Vegas ,3960,29/26/22/14/14/? floors (6 towers)
Bellagio Las Vegas , United States ,Las Vegas ,3950,36 floors (2 towers)
Hilton Hawaiian Village , United States ,Honolulu ,3804,8 towers
Circus Circus Las Vegas , United States ,Las Vegas ,3773,35/29/15 floors (3 towers)
Shinagawa Prince Hotel , Japan ,Tokyo ,3680,
Flamingo Las Vegas , United States ,Las Vegas ,3626,28 floors
Atlantis Paradise Island , Bahamas ,Paradise Island ,3414,
Moon Palace Golf & Spa , Mexico ,Riviera Maya ,3407,
Disney's Port Orleans Riverside and French Quarter[8] , United States ,Lake Buena Vista ,3056,Includes multiple buildings
The Mirage , United States ,Las Vegas ,3044,30 floors
Cosmopolitan of Las Vegas , United States ,Las Vegas ,3027,53/51 floors
Monte Carlo Resort and Casino , United States ,Las Vegas ,3002,32 floors
The Parisian , Macau ,Macau ,3000,
The Venetian Macao , Macau ,Macau ,3000,40 floors
Westgate Las Vegas Resort and Casino (formerly the LVH and Las Vegas Hilton) , United States ,Las Vegas ,2956,30 floors
Paris Las Vegas , United States ,Las Vegas ,2916,33 floors
Treasure Island Hotel and Casino , United States ,Las Vegas ,2884,36 floors
Gaylord Opryland Resort & Convention Center , United States ,Nashville ,2881,6 floors
Disney's Pop Century Resort[8] , United States ,"Bay Lake, Florida ",2880,4 floors
Bally's Las Vegas , United States ,Las Vegas ,2814,26 floors
Borgata , United States ,Atlantic City ,2802,43 floors
Jabal Omar Development , Saudi Arabia ,Mecca ,2769,20 Floors[9]
Harrah's Las Vegas , United States ,Las Vegas ,2677,35/23/15 floors (3 towers)
The Linq , United States ,Las Vegas ,2640,"Formerly named the Quad and the Imperial Palace, 19 floors"
Oasis Beach Hotel , Turkey ,Antalya ,"2,628[10] ",
Planet Hollywood Resort and Casino , United States ,Las Vegas ,2600,39 floors
Harrah's Atlantic City , United States ,Atlantic City ,2588,40 floors (Waterfront Tower)
Marina Bay Sands , Singapore ,Singapore ,2561,55 floors (3 towers)
Rio All Suite Hotel and Casino , United States ,Las Vegas ,2522,42/20 floors
Stratosphere Las Vegas , United States ,Las Vegas ,2427,24 floors (hotel building)
Golden Nugget Las Vegas , United States ,Las Vegas ,2419,24/22/18 floors
Foxwoods Resort Casino , United States ,Mashantucket ,2266,
Walt Disney World Dolphin & Walt Disney World Swan , United States ,"Bay Lake, Florida ","2,265[11] ",
Universal's Cabana Bay Beach Resort , United States ,Orlando ,2200,"Multiple buildings ( (3) 4 floors, (2) 7 floors, (2) 11 floors)"
Galaxy Macau , Macau ,Macau ,2200,"3 hotel complex. Galaxy Hotel (1,500), Okura Hotel (410) and Banyan Tree Hotel (238)"
City of Dreams , Macau ,Macau ,2200,"3 hotel towers: Hard Rock Hotel, Grand Hyatt Macau and Crown Towers"
"South Point Hotel, Casino & Spa ", United States ,Las Vegas ,2163,25 floors
Hotel Moon Palace Cancún , Mexico ,Cancun ,"2,133[citation needed] ",
Tropicana Casino and Resort Atlantic City , United States ,Atlantic City ,2129,
Disney's Caribbean Beach Resort , United States ,"Bay Lake, Florida ",2112,2 floors
Riviera (hotel and casino) , United States ,Las Vegas ,2100,"24/17/9 floors (closed on May 4, 2015)"
New York-New York Hotel & Casino , United States ,Las Vegas ,2024,49 floors
Hyatt Regency Chicago , United States ,Chicago ,2020,36 floors
