Name,ANSI_Alpha,ANSI_Num,What,ISO,USPS,USCG,GPO,AP,Other,,,
Alabama ,AL ,1,State ,US-AL ,AL ,AL ,Ala. ,Ala. ,,,,
Alaska ,AK ,2,State ,US-AK ,AK ,AK ,Alaska ,Alaska ,Alas.,,,
Arizona ,AZ ,4,State ,US-AZ ,AZ ,AZ ,Ariz. ,Ariz. ,Az.,,,
Arkansas ,AR ,5,State ,US-AR ,AR ,AR ,Ark. ,Ark. ,,,,
California ,CA ,6,State ,US-CA ,CA ,CF ,Calif. ,Calif. ,"Ca., Cal.",,,
Colorado ,CO ,8,State ,US-CO ,CO ,CL ,Colo. ,Colo. ,Col.,,,
Connecticut ,CT ,9,State ,US-CT ,CT ,CT ,Conn. ,Conn. ,Ct.,,,
Delaware ,DE ,10,State ,US-DE ,DE ,DL ,Del. ,Del. ,De.,,,
District of Columbia ,DC ,11,Federal district ,US-DC ,DC ,DC ,D.C. ,D.C. ,Wash. D.C.,,,
Florida ,FL ,12,State ,US-FL ,FL ,FL ,Fla. ,Fla. ,"Fl., Flor.",,,
Georgia ,GA ,13,State ,US-GA ,GA ,GA ,Ga. ,Ga. ,Geo.,,,
Hawaii ,HI ,15,State ,US-HI ,HI ,HA ,Hawaii ,Hawaii ,H.I.,,,
Idaho ,ID ,16,State ,US-ID ,ID ,ID ,Idaho ,Idaho ,"Id., Ida.",,,
Illinois ,IL ,17,State ,US-IL ,IL ,IL ,Ill. ,Ill. ,"Il., Ills., Ill's",,,
Indiana ,IN ,18,State ,US-IN ,IN ,IN ,Ind. ,Ind. ,In.,,,
Iowa ,IA ,19,State ,US-IA ,IA ,IA ,Iowa ,Iowa ,"Ia., Ioa.[a]",,,
Kansas ,KS ,20,State ,US-KS ,KS ,KA ,Kans. ,Kan. ,"Ks., Ka.",,,
Kentucky ,KY ,21,State (Commonwealth) ,US-KY ,KY ,KY ,Ky. ,Ky. ,"Ken., Kent.[b]",,,
Louisiana ,LA ,22,State ,US-LA ,LA ,LA ,La. ,La. ,,,,
Maine ,ME ,23,State ,US-ME ,ME ,ME ,Maine ,Maine ,Me.,,,
Maryland ,MD ,24,State ,US-MD ,MD ,MD ,Md. ,Md. ,,,,
Massachusetts ,MA ,25,State (Commonwealth) ,US-MA ,MA ,MS ,Mass. ,Mass. ,,,,
Michigan ,MI ,26,State ,US-MI ,MI ,MC ,Mich. ,Mich. ,,,,
Minnesota ,MN ,27,State ,US-MN ,MN ,MN ,Minn. ,Minn. ,Mn.,,,
Mississippi ,MS ,28,State ,US-MS ,MS ,MI ,Miss. ,Miss. ,,,,
Missouri ,MO ,29,State ,US-MO ,MO ,MO ,Mo. ,Mo. ,,,,
Montana ,MT ,30,State ,US-MT ,MT ,MT ,Mont. ,Mont. ,,,,
Nebraska ,NE ,31,State ,US-NE ,NE ,NB ,Nebr. ,Neb. ,,,,
Nevada ,NV ,32,State ,US-NV ,NV ,NV ,Nev. ,Nev. ,Nv.,,,
New Hampshire ,NH ,33,State ,US-NH ,NH ,NH ,N.H. ,N.H. ,,,,
